Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Backorder,Unit Price,Extended Price
1,10,296-40801-1-ND,TPS54531DDAR,IC REG BUCK ADJ 5A 8SOPWRPAD,,0,1.801,$18.01
2,2,641-1419-1-ND,SB540E-G,DIODE SCHOTTKY 40V 5A DO201AD,,0,0.46,$0.92
3,10,RNF14FTD51R1CT-ND,RNF14FTD51R1,RES 51.1 OHM 1/4W 1% AXIAL,,0,0.072,$0.72
4,10,RNF14FTD464RCT-ND,RNF14FTD464R,RES 464 OHM 1/4W 1% AXIAL,,0,0.072,$0.72
5,10,RNF14FTD10K0CT-ND,RNF14FTD10K0,RES 10K OHM 1/4W 1% AXIAL,,0,0.072,$0.72
6,10,RNF14FTD130KCT-ND,RNF14FTD130K,RES 130K OHM 1/4W 1% AXIAL,,0,0.072,$0.72
7,10,665KXBK-ND,MFR-25FBF52-665K,RES 665K OHM 1/4W 1% AXIAL,,0,0.082,$0.82
8,10,37.4KXBK-ND,MFR-25FBF52-37K4,RES 37.4K OHM 1/4W 1% AXIAL,,0,0.082,$0.82
9,10,BC2675CT-ND,K222K10X7RF5UH5,CAP CER 2200PF 50V X7R RADIAL,,0,0.126,$1.26
10,10,BC2662CT-ND,K103K10X7RF5UH5,CAP CER 10000PF 50V X7R RADIAL,,0,0.127,$1.27
11,10,BC1005CT-ND,K220J15C0GF5TL2,CAP CER 22PF 50V C0G/NP0 RADIAL,,0,0.152,$1.52
12,10,P19613CT-ND,EEU-EB1H470SH,CAP ALUM 47UF 20% 50V RADIAL,,0,0.243,$2.43
13,10,P15839CT-ND,EEA-GA1H4R7H,CAP ALUM 4.7UF 20% 50V RADIAL,,0,0.167,$1.67
14,2,M8803-ND,2103-H-RC,FIXED IND 15UH 7.7A 12 MOHM TH,,0,2.5,$5.00
15,10,1.96KXBK-ND,MFR-25FBF52-1K96,RES 1.96K OHM 1/4W 1% AXIAL,,0,0.082,$0.82
16,10,715XBK-ND,MFR-25FBF52-715R,RES 715 OHM 1/4W 1% AXIAL,,0,0.082,$0.82
,,,,,,,Subtotal,$38.24
