X,CH1
Sequence,Volt
0,4.92
1,4.88
2,4.88
3,4.92
4,4.92
5,4.88
6,4.88
7,4.92
8,4.92
9,4.88
10,4.92
11,4.88
12,4.92
13,4.88
14,4.92
15,4.88
16,4.92
17,4.88
18,4.92
19,4.88
20,4.88
21,4.92
22,4.88
23,4.92
24,4.88
25,4.92
26,4.92
27,4.88
28,4.92
29,4.88
30,4.88
31,4.92
32,4.88
33,4.92
34,4.92
35,4.88
36,4.88
37,4.92
38,4.92
39,4.88
40,4.92
41,4.88
42,4.92
43,4.88
44,4.92
45,4.88
46,4.92
47,4.88
48,4.88
49,4.92
50,4.92
51,4.88
52,4.88
53,4.92
54,4.88
55,4.92
56,4.92
57,4.88
58,4.92
59,4.88
60,4.92
61,4.88
62,4.88
63,4.92
64,4.92
65,4.88
66,4.92
67,4.88
68,4.92
69,4.88
70,4.92
71,4.88
72,4.92
73,4.88
74,4.92
75,4.88
76,4.92
77,4.88
78,4.92
79,4.88
80,4.92
81,4.88
82,4.92
83,4.88
84,4.88
85,4.92
86,4.88
87,4.92
88,4.88
89,4.92
90,4.88
91,4.92
92,4.92
93,4.88
94,4.88
95,4.92
96,4.92
97,4.88
98,4.92
99,4.88
100,4.92
101,4.88
102,4.88
103,4.92
104,4.92
105,4.88
106,4.92
107,4.88
108,4.92
109,4.88
110,4.92
111,4.88
112,4.88
113,4.92
114,4.92
115,4.88
116,4.92
117,4.88
118,4.92
119,4.88
120,4.88
121,4.92
122,4.92
123,4.88
124,4.92
125,4.88
126,4.92
127,4.88
128,4.88
129,4.92
130,4.92
131,4.88
132,4.92
133,4.88
134,4.92
135,4.88
136,4.88
137,4.92
138,4.88
139,4.92
140,4.92
141,4.88
142,4.88
143,4.92
144,4.92
145,4.88
146,4.88
147,4.92
148,4.92
149,4.88
150,4.92
151,4.88
152,4.88
153,4.92
154,4.92
155,4.88
156,4.92
157,4.88
158,4.88
159,4.92
160,4.92
161,4.88
162,4.92
163,4.88
164,4.92
165,4.88
166,4.92
167,4.88
168,4.92
169,4.88
170,4.88
171,4.92
172,4.92
173,4.88
174,4.92
175,4.88
176,4.88
177,4.92
178,4.88
179,4.92
180,4.92
181,4.88
182,4.88
183,4.92
184,4.92
185,4.88
186,4.92
187,4.88
188,4.92
189,4.88
190,4.92
191,4.88
192,4.88
193,4.92
194,4.88
195,4.92
196,4.92
197,4.88
198,4.92
199,4.88
200,4.92
201,4.88
202,4.92
203,4.88
204,4.92
205,4.88
206,4.88
207,4.92
208,4.92
209,4.88
210,4.92
211,4.88
212,4.92
213,4.88
214,4.92
215,4.88
216,4.88
217,4.92
218,4.92
219,4.88
220,4.88
221,4.92
222,4.92
223,4.88
224,4.92
225,4.88
226,4.92
227,4.88
228,4.92
229,4.88
230,4.88
231,4.92
232,4.92
233,4.88
234,4.88
235,4.92
236,4.92
237,4.88
238,4.92
239,4.88
240,4.92
241,4.88
242,4.92
243,4.88
244,4.88
245,4.92
246,4.92
247,4.88
248,4.88
249,4.92
250,4.92
251,4.88
252,4.92
253,4.88
254,4.92
255,4.88
256,4.88
257,4.92
258,4.92
259,4.88
260,4.92
261,4.88
262,4.92
263,4.88
264,4.88
265,4.92
266,4.92
267,4.88
268,4.88
269,4.92
270,4.88
271,4.92
272,4.92
273,4.88
274,4.92
275,4.88
276,4.92
277,4.88
278,4.92
279,4.88
280,4.92
281,4.88
282,4.92
283,4.88
284,4.92
285,4.88
286,4.92
287,4.88
288,4.88
289,4.92
290,4.92
291,4.88
292,4.92
293,4.88
294,4.92
295,4.88
296,4.88
297,4.92
298,4.88
299,4.92
300,4.92
301,4.88
302,4.92
303,4.88
304,4.92
305,4.88
306,4.92
307,4.88
308,4.88
309,4.92
310,4.92
311,4.88
312,4.88
313,4.92
314,4.88
315,4.92
316,4.88
317,4.92
318,4.92
319,4.88
320,4.92
321,4.88
322,4.92
323,4.88
324,4.88
325,4.92
326,4.92
327,4.88
328,4.88
329,4.92
330,4.92
331,4.88
332,4.92
333,4.88
334,4.92
335,4.88
336,4.92
337,4.88
338,4.92
339,4.88
340,4.88
341,4.92
342,4.92
343,4.88
344,4.92
345,4.88
346,4.92
347,4.88
348,4.88
349,4.92
350,4.92
351,4.88
352,4.92
353,4.88
354,4.92
355,4.88
356,4.88
357,4.92
358,4.88
359,4.92
360,4.88
361,4.92
362,4.92
363,4.88
364,4.92
365,4.88
366,4.92
367,4.88
368,4.92
369,4.88
370,4.92
371,4.88
372,4.92
373,4.88
374,4.92
375,4.88
376,4.92
377,4.88
378,4.92
379,4.88
380,4.92
381,4.88
382,4.92
383,4.88
384,4.92
385,4.88
386,4.88
387,4.92
388,4.92
389,4.88
390,4.92
391,4.88
392,4.88
393,4.92
394,4.92
395,4.88
396,4.92
397,4.88
398,4.92
399,4.88
400,4.92
401,4.88
402,4.88
403,4.92
404,4.88
405,4.92
406,4.92
407,4.88
408,4.88
409,4.92
410,4.88
411,4.92
412,4.92
413,4.88
414,4.92
415,4.88
416,4.88
417,4.92
418,4.92
419,4.88
420,4.92
421,4.88
422,4.92
423,4.88
424,4.92
425,4.88
426,4.92
427,4.88
428,4.88
429,4.92
430,4.88
431,4.92
432,4.92
433,4.88
434,4.92
435,4.88
436,4.88
437,4.92
438,4.92
439,4.88
440,4.92
441,4.88
442,4.92
443,4.88
444,4.92
445,4.88
446,4.92
447,4.88
448,4.88
449,4.92
450,4.92
451,4.88
452,4.92
453,4.88
454,4.92
455,4.88
456,4.92
457,4.88
458,4.92
459,4.88
460,4.88
461,4.92
462,4.88
463,4.92
464,4.92
465,4.88
466,4.88
467,4.92
468,4.92
469,4.88
470,4.88
471,4.92
472,4.92
473,4.88
474,4.92
475,4.88
476,4.92
477,4.88
478,4.92
479,4.88
480,4.92
481,4.88
482,4.92
483,4.88
484,4.92
485,4.88
486,4.92
487,4.88
488,4.92
489,4.88
490,4.92
491,4.88
492,4.92
493,4.88
494,4.92
495,4.88
496,4.92
497,4.88
498,4.92
499,4.88
500,4.88
501,4.92
502,4.92
503,4.88
504,4.88
505,4.92
506,4.88
507,4.92
508,4.92
509,4.88
510,4.92
511,4.88
512,4.92
513,4.88
514,4.88
515,4.92
516,4.92
517,4.88
518,4.92
519,4.88
520,4.88
521,4.92
522,4.92
523,4.88
524,4.88
525,4.92
526,4.88
527,4.92
528,4.88
529,4.92
530,4.92
531,4.88
532,4.92
533,4.88
534,4.92
535,4.88
536,4.92
537,4.88
538,4.92
539,4.88
540,4.92
541,4.88
542,4.92
543,4.88
544,4.88
545,4.92
546,4.92
547,4.88
548,4.88
549,4.92
550,4.92
551,4.88
552,4.92
553,4.88
554,4.92
555,4.88
556,4.92
557,4.88
558,4.92
559,4.88
560,4.92
561,4.88
562,4.92
563,4.88
564,4.92
565,4.88
566,4.92
567,4.88
568,4.92
569,4.88
570,4.88
571,4.92
572,4.92
573,4.88
574,4.92
575,4.88
576,4.92
577,4.88
578,4.92
579,4.88
580,4.92
581,4.88
582,4.92
583,4.88
584,4.92
585,4.88
586,4.92
587,4.88
588,4.92
589,4.88
590,4.92
591,4.88
592,4.92
593,4.88
594,4.92
595,4.88
596,4.92
597,4.88
598,4.96
599,4.68
600,5.2
601,4.64
602,4.72
603,5.24
604,4.96
605,4.84
606,5.2
607,4.56
608,4.96
609,4.88
610,4.68
611,5.24
612,4.92
613,4.88
614,5.24
615,4.52
616,4.88
617,4.92
618,5.24
619,4.52
620,5.4
621,4.52
622,4.76
623,5
624,4.72
625,5.24
626,4.84
627,4.96
628,5.2
629,4.56
630,4.92
631,4.88
632,5.4
633,4.52
634,4.88
635,4.92
636,4.68
637,5.2
638,4.88
639,4.92
640,5.24
641,4.52
642,4.48
643,5.32
644,5
645,4.84
646,4.68
647,5.24
648,4.96
